Exam Date,Roll No.,Phy,Chem,Bot,Zoo,Total,%,Rank
2/7/2017,12201,176,151,180,156,663,92.60,1
2/7/2017,13427,142,142,162,160,606,87.07,2
2/7/2017,13247,139,137,171,160,607,84.78,3
2/7/2017,13083,159,142,146,160,607,84.78,4
2/7/2017,12703,145,141,154,157,597,83.38,5
2/7/2017,13431,123,146,150,160,579,83.19,6
2/7/2017,13316,151,146,125,165,587,81.98,7
2/7/2017,13070,133,131,156,165,585,81.70,8
2/7/2017,12205,127,140,170,147,584,81.56,9
2/7/2017,13030,136,141,160,145,582,81.28,10
2/7/2017,13295,125,126,160,165,576,80.45,11
2/7/2017,12204,137,121,162,156,576,80.45,12
2/7/2017,13114,130,146,148,151,575,80.31,13
2/7/2017,13434,123,136,146,150,555,79.74,14
2/7/2017,13312,122,133,165,150,570,79.61,15
2/7/2017,13513,119,131,156,147,553,79.45,16
2/7/2017,13048,134,144,146,143,567,79.19,17
2/7/2017,13081,151,152,147,117,567,79.19,18
2/7/2017,13014,130,137,129,170,566,79.05,19
2/7/2017,13454,100,129,161,160,550,79.02,20
2/7/2017,12202,141,143,136,145,565,78.91,21
2/7/2017,13418,102,141,156,150,549,78.88,22
2/7/2017,12208,127,152,130,155,564,78.77,23
2/7/2017,13265,135,147,136,146,564,78.77,24
2/7/2017,12209,130,126,167,141,564,78.77,25
2/7/2017,13027,112,142,157,150,561,78.35,26
2/7/2017,14005,148,113,150,150,561,78.35,27
2/7/2017,13239,122,124,148,165,559,78.07,28
2/7/2017,13659,141,131,132,155,559,78.07,29
2/7/2017,13105,117,133,135,165,550,76.82,30
2/7/2017,13092,132,132,138,147,549,76.68,31
2/7/2017,13432,123,122,155,130,530,76.15,32
2/7/2017,13217,127,106,160,150,543,75.84,33
2/7/2017,13523,89,112,150,175,526,75.57,34
2/7/2017,13090,109,123,156,151,539,75.28,35
2/7/2017,12702,112,137,150,140,539,75.28,36
2/7/2017,13028,117,132,135,150,534,74.58,37
2/7/2017,12701,138,147,118,131,534,74.58,38
2/7/2017,13274,122,127,133,150,532,74.30,39
2/7/2017,13094,138,121,126,145,530,74.02,40
2/7/2017,13444,87,137,151,140,515,73.99,41
2/7/2017,13298,131,99,152,145,527,73.60,42
2/7/2017,13074,113,108,151,150,522,72.91,43
2/7/2017,13259,124,141,132,125,522,72.91,44
2/7/2017,13311,114,104,140,160,518,72.35,45
2/7/2017,13457,111,126,140,126,503,72.27,46
2/7/2017,13403,100,113,142,147,502,72.13,47
2/7/2017,13084,63,143,160,150,516,72.07,48
2/7/2017,12707,153,106,124,133,516,72.07,49
2/7/2017,12157,117,132,137,130,516,72.07,50
2/7/2017,13290,137,77,140,160,514,71.79,51
